run_cell_id,dataset_id,branch_id,condition_id,budget_id,model_repeat_index,subject_id,session_id,n,BACC,F1_MACRO,ACC,ROC_AUC
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,4,93,0,45,0.5978260869565217,0.595,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,4,98,0,45,0.37648221343873517,0.375,0.37777777777777777,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,4,107,0,45,0.6160714285714286,0.6153846153846154,0.6222222222222222,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,5,6,0,45,0.5029761904761905,0.4989878542510121,0.5111111111111111,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,5,27,0,45,0.42193675889328064,0.42193675889328064,0.4222222222222222,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,5,39,0,45,0.4891304347826087,0.4888888888888889,0.4888888888888889,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,5,40,0,45,0.6458333333333333,0.6442687747035574,0.6444444444444445,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,5,47,0,45,0.5327380952380952,0.5324096981692232,0.5333333333333333,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,5,48,0,45,0.46936758893280633,0.46,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,5,57,0,45,0.3630952380952381,0.3504230960676954,0.35555555555555557,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,5,71,0,45,0.3102766798418972,0.30974764967837703,0.3111111111111111,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,5,93,0,45,0.5770750988142292,0.5769421078673924,0.5777777777777777,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,5,98,0,45,0.46640316205533594,0.46640316205533594,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR05,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,5,107,0,45,0.4642857142857143,0.4642857142857143,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,6,6,0,45,0.4226190476190476,0.42193675889328064,0.4222222222222222,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,6,27,0,45,0.46837944664031617,0.4642857142857143,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,6,39,0,45,0.46837944664031617,0.4642857142857143,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,6,40,0,45,0.49404761904761907,0.48787728847105394,0.4888888888888889,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,6,47,0,45,0.6190476190476191,0.6192135390741662,0.6222222222222222,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,6,48,0,45,0.5553359683794465,0.5553359683794465,0.5555555555555556,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,6,57,0,45,0.5773809523809523,0.5769421078673924,0.5777777777777777,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,6,71,0,45,0.4871541501976284,0.48481831757093086,0.4888888888888889,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,6,93,0,45,0.5760869565217391,0.5744151319064211,0.5777777777777777,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,6,98,0,45,0.46936758893280633,0.46,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR06,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,6,107,0,45,0.4613095238095238,0.46,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,7,6,0,45,0.46726190476190477,0.46640316205533594,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR07,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,7,27,0,45,0.4644268774703557,0.46,0.4666666666666667,0.5
