dataset_id,branch_id,subject_id,BACC,F1_MACRO,ACC,ROC_AUC
PhysioNetMI,DNN-SEQ,47,0.5160714285714285,0.5003471110918976,0.5288888888888889,0.5484126984126985
PhysioNetMI,DNN-SEQ,48,0.8071146245059289,0.8019706906372989,0.8044444444444444,0.9126482213438735
PhysioNetMI,DNN-SEQ,57,0.5779761904761905,0.5742752912564233,0.5866666666666667,0.6059523809523809
PhysioNetMI,DNN-SEQ,71,0.9294466403162055,0.9288801054018444,0.9288888888888888,0.9604743083003953
PhysioNetMI,DNN-SEQ,93,0.8063241106719368,0.8034326017112716,0.8044444444444444,0.9276679841897234
PhysioNetMI,DNN-SEQ,98,0.5675889328063242,0.5662216680119363,0.5688888888888889,0.5968379446640316
PhysioNetMI,DNN-SEQ,107,0.5982142857142858,0.5878479779070599,0.6044444444444445,0.6376984126984127
PhysioNetMI,RIE-EA-TS,6,0.5059523809523809,0.4623376623376623,0.4888888888888889,0.494047619047619
PhysioNetMI,RIE-EA-TS,27,0.5533596837944664,0.55,0.5555555555555556,0.5118577075098815
PhysioNetMI,RIE-EA-TS,39,0.5612648221343874,0.5273109243697479,0.5555555555555556,0.5889328063241106
PhysioNetMI,RIE-EA-TS,40,0.6011904761904763,0.599802371541502,0.6,0.6051587301587302
PhysioNetMI,RIE-EA-TS,47,0.5327380952380952,0.5324096981692232,0.5333333333333333,0.5892857142857142
PhysioNetMI,RIE-EA-TS,48,0.7579051383399209,0.7536087605774017,0.7555555555555555,0.8122529644268774
PhysioNetMI,RIE-EA-TS,57,0.6845238095238095,0.685,0.6888888888888889,0.7817460317460317
PhysioNetMI,RIE-EA-TS,71,0.6086956521739131,0.533410138248848,0.6,0.9407114624505928
PhysioNetMI,RIE-EA-TS,93,0.8883399209486166,0.8886689757545769,0.8888888888888888,0.91699604743083
PhysioNetMI,RIE-EA-TS,98,0.5563241106719368,0.5553359683794465,0.5555555555555556,0.6007905138339922
PhysioNetMI,RIE-EA-TS,107,0.5476190476190477,0.445165476963011,0.5777777777777777,0.7956349206349207
PhysioNetMI,RIE-MDM,6,0.5089285714285714,0.4444444444444444,0.5333333333333333,0.5
PhysioNetMI,RIE-MDM,27,0.5,0.3283582089552239,0.4888888888888889,0.5810276679841897
PhysioNetMI,RIE-MDM,39,0.5,0.3283582089552239,0.4888888888888889,0.5553359683794467
PhysioNetMI,RIE-MDM,40,0.5,0.3478260869565217,0.5333333333333333,0.6051587301587302
PhysioNetMI,RIE-MDM,47,0.5,0.3478260869565217,0.5333333333333333,0.5119047619047619
PhysioNetMI,RIE-MDM,48,0.5,0.3382352941176471,0.5111111111111111,0.8142292490118578
PhysioNetMI,RIE-MDM,57,0.5,0.3181818181818182,0.4666666666666667,0.628968253968254
PhysioNetMI,RIE-MDM,71,0.6383399209486166,0.6120689655172413,0.6444444444444445,0.6521739130434783
PhysioNetMI,RIE-MDM,93,0.5454545454545454,0.4318181818181818,0.5555555555555556,0.9031620553359684
PhysioNetMI,RIE-MDM,98,0.5,0.3382352941176471,0.5111111111111111,0.5889328063241107
PhysioNetMI,RIE-MDM,107,0.4166666666666666,0.3688311688311688,0.4,0.5496031746031745
PhysioNetMI,RIE-TS-LR,6,0.5267857142857143,0.4907407407407407,0.5111111111111111,0.5158730158730159
PhysioNetMI,RIE-TS-LR,27,0.5098814229249011,0.5089285714285714,0.5111111111111111,0.5177865612648221
PhysioNetMI,RIE-TS-LR,39,0.5622529644268774,0.5150862068965517,0.5555555555555556,0.5988142292490118
PhysioNetMI,RIE-TS-LR,40,0.5773809523809523,0.5769421078673924,0.5777777777777777,0.6111111111111112
