dataset_id,model_id,metric_id,budget_per_class,budget_id,point_status,value,attempted_repeats,successful_repeats,non_success_repeats,budget_repeat_id,single_frozen_subset_limitation
BNCI2014_001,DNN-EEGNET,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5416666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,DNN-EEGNET,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.56875,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,DNN-EEGNET,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5076388888888889,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,SSL-CBRAMOD,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.4979166666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,SSL-CBRAMOD,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5069444444444444,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,SSL-CBRAMOD,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5083333333333334,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,SSL-CBRAMOD,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5208333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,SSL-CBRAMOD,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5277777777777778,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
BNCI2014_001,SSL-CBRAMOD,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5166666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,CLS-CSP-LDA,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,EXPLICIT_NON_SUCCESS,,1,0,1,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,CLS-CSP-LDA,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,CLS-CSP-LDA,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.4966666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,CLS-CSP-LDA,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.4616666666666666,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,CLS-CSP-LDA,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5666666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,CLS-CSP-LDA,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5183333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,RIE-TS-LR,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5016666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,RIE-TS-LR,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.4933333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,RIE-TS-LR,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.4983333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,RIE-TS-LR,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5349999999999999,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,RIE-TS-LR,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5700000000000001,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,RIE-TS-LR,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5283333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,DNN-EEGNET,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5273333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,DNN-EEGNET,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.4983333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,DNN-EEGNET,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5243333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,DNN-EEGNET,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5226666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,DNN-EEGNET,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.498,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,DNN-EEGNET,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5226666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
